State,District,Latitude,Longitude,Population,Male,Female,Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains
Uttaranchal,Almora,29.683532133676103,79.50165064267351,622506,291081,331425,436497,150995,1281,611250,7752,1895,256,201,31
Uttaranchal,Almora,29.683532133676103,79.50165064267351,622506,291081,331425,436497,150995,1281,611250,7752,1895,256,201,31
Uttaranchal,Almora,29.683532133676103,79.50165064267351,622506,291081,331425,436497,150995,1281,611250,7752,1895,256,201,31
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,259648,131125,128523,177726,47383,1339,249563,8693,870,336,24,28
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,259648,131125,128523,177726,47383,1339,249563,8693,870,336,24,28
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,259648,131125,128523,177726,47383,1339,249563,8693,870,336,24,28
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,1648902,858783,790119,1037839,238264,123037,1104452,372267,6064,162768,505,738
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,1648902,858783,790119,1037839,238264,123037,1104452,372267,6064,162768,505,738
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,1648902,858783,790119,1037839,238264,123037,1104452,372267,6064,162768,505,738
Haryana,Panchkula,30.700897142857134,76.97173238095236,561293,299679,261614,405318,101830,0,490702,23451,2583,40951,1008,1626
Haryana,Panchkula,30.700897142857134,76.97173238095236,561293,299679,261614,405318,101830,0,490702,23451,2583,40951,1008,1626
Haryana,Panchkula,30.700897142857134,76.97173238095236,561293,299679,261614,405318,101830,0,490702,23451,2583,40951,1008,1626
Haryana,Ambala,30.3503672316384,76.94970310734456,1128350,598703,529647,818025,296246,0,955096,22143,3705,138202,381,4845
Haryana,Ambala,30.3503672316384,76.94970310734456,1128350,598703,529647,818025,296246,0,955096,22143,3705,138202,381,4845
Haryana,Ambala,30.3503672316384,76.94970310734456,1128350,598703,529647,818025,296246,0,955096,22143,3705,138202,381,4845
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,964655,510976,453679,646893,215128,0,805175,15970,1943,140395,214,375
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,964655,510976,453679,646893,215128,0,805175,15970,1943,140395,214,375
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,964655,510976,453679,646893,215128,0,805175,15970,1943,140395,214,375
Haryana,Kaithal,29.96068539094649,76.37698930041155,1074304,571003,503301,646529,247513,0,974520,8232,1769,87558,265,351
Haryana,Kaithal,29.96068539094649,76.37698930041155,1074304,571003,503301,646529,247513,0,974520,8232,1769,87558,265,351
Haryana,Kaithal,29.96068539094649,76.37698930041155,1074304,571003,503301,646529,247513,0,974520,8232,1769,87558,265,351
Haryana,Karnal,29.703200647249204,76.87488025889972,1505324,797712,707612,978013,339604,0,1341002,31650,2049,126207,532,1516
Haryana,Karnal,29.703200647249204,76.87488025889972,1505324,797712,707612,978013,339604,0,1341002,31650,2049,126207,532,1516
Haryana,Karnal,29.703200647249204,76.87488025889972,1505324,797712,707612,978013,339604,0,1341002,31650,2049,126207,532,1516
Haryana,Panipat,29.34352134146342,76.92895914634147,1205437,646857,558580,786599,206213,0,1083936,86622,2261,25064,289,4647
Haryana,Panipat,29.34352134146342,76.92895914634147,1205437,646857,558580,786599,206213,0,1083936,86622,2261,25064,289,4647
Haryana,Panipat,29.34352134146342,76.92895914634147,1205437,646857,558580,786599,206213,0,1083936,86622,2261,25064,289,4647
Haryana,Jind,29.45149821958457,76.29598575667653,1334152,713006,621146,832758,282351,0,1276669,23016,889,29103,172,2594
